,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
10,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,10,759,76,22.2,8.4,9,82,1,18,0,1.7,11,11,0,0,0.2,11.6,9.2,2.4,0.28,0.82,Matches
11,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,31,2759,89,80.7,30.7,31,89,0,,1,1.97,52,28,24,0.78,0.78,48.5,28.2,20.2,0.66,0.23,Matches
12,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,9,641,71,18.7,7.1,7,86,2,19,1,1.44,10,9,1,0.14,0.08,7,8.3,-1.3,-0.18,-0.44,Matches
13,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,1,3,3,0.1,0,0,,1,2,1,3,0,0,0,0,-0.74,0,0,0,0,-0.27,Matches
14,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,Chelsea,17,2000,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
15,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,36,3043,85,89,33.8,36,85,0,,0,1.36,48,49,-1,-0.03,0.45,45,54.3,-9.4,-0.28,0.33,Matches
16,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,23,881,38,25.8,9.8,8,68,15,23,5,0.78,7,14,-7,-0.72,-0.08,8,12.3,-4.3,-0.44,0.18,Matches
17,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,33,2103,64,61.5,23.4,22,84,11,24,2,1.3,29,30,-1,-0.04,0.09,31.3,39.8,-8.5,-0.36,-0.13,Matches
18,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,29,1432,49,41.9,15.9,16,75,13,18,5,0.93,21,26,-5,-0.31,0.36,17.3,24.2,-6.9,-0.43,-0.31,Matches
19,Marko Arnautovi?\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,28,1990,71,58.2,22.1,24,78,4,28,0,1.43,28,34,-6,-0.27,-0.46,29,32.6,-3.6,-0.16,0.36,Matches
20,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,3240,90,94.7,36,36,90,0,,2,1.89,61,39,22,0.61,-0.39,56.3,34.4,22,0.61,-0.05,Matches
21,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,25,1997,80,58.4,22.2,24,83,1,0,2,0.88,19,39,-20,-0.9,0.05,23.1,31.7,-8.7,-0.39,0.45,Matches
22,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,28,1493,53,43.7,16.6,15,85,13,17,5,1.14,19,18,1,0.06,0.39,14.4,23.6,-9.1,-0.55,-0.34,Matches
23,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,36,2726,76,79.7,30.3,30,85,6,30,0,1.86,58,42,16,0.53,-0.25,48,46.2,1.8,0.06,-0.06,Matches
24,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,8,564,71,16.5,6.3,6,81,2,40,11,2.25,12,9,3,0.48,-0.31,8.4,7.4,1,0.16,-0.13,Matches
25,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,25,983,39,28.7,10.9,11,67,14,18,10,0.8,11,17,-6,-0.55,-0.03,13.3,16.1,-2.8,-0.26,-0.01,Matches
26,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,20,1181,59,34.5,13.1,14,80,6,10,16,1.4,15,13,2,0.15,0.31,14.1,15.2,-1.1,-0.08,-0.19,Matches
27,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,16,476,30,13.9,5.3,3,79,13,18,11,0.69,3,13,-10,-1.89,-0.76,4.8,10.1,-5.3,-1,-0.38,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,3402,90,99.5,37.8,38,90,0,,0,1.89,63,39,24,0.63,0.63,58.4,34.9,23.6,0.62,1.92,Matches
29,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,1251,78,36.6,13.9,15,82,1,25,0,0.75,14,26,-12,-0.86,0.59,15.2,24.1,-8.9,-0.64,0.05,Matches
30,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,1412,67,41.3,15.7,16,82,5,21,5,0.38,9,36,-27,-1.72,-0.51,10.4,30.7,-20.3,-1.29,-0.66,Matches
