,,Performance,Performance,Performance,Performance,Performance,Performance
Player,Squad,CrdY,CrdR,Fls,Off,OG,Recov
Håvard Nordtveit\Havard-Nordtveit,Fulham,0,0,5,0,0,40
Will Norris\Will-Norris,Wolves,0,0,0,0,0,0
Michael Obafemi\Michael-Obafemi,Southampton,1,0,2,1,0,7
Pedro Obiang\Pedro-Obiang,West Ham,0,0,15,2,0,107
Denis Odoi\Denis-Odoi,Fulham,4,0,37,0,1,337
Angelo Ogbonna\Angelo-Ogbonna,West Ham,2,0,15,0,0,195
Stefano Okaka\Stefano-Okaka,Watford,1,0,1,0,0,6
Shinji Okazaki\Shinji-Okazaki,Leicester City,0,0,6,3,0,15
Divock Origi\Divock-Origi,Liverpool,0,0,2,3,0,29
Nicolás Otamendi\Nicolas-Otamendi,Manchester City,1,0,8,0,0,145
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,Liverpool,0,0,0,0,0,1
Mesut Özil\Mesut-Ozil,Arsenal,2,0,10,10,0,114
Emerson Palmieri\Emerson-Palmieri,Chelsea,0,0,8,0,0,51
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,Arsenal,12,0,37,0,0,186
Callum Paterson\Callum-Paterson,Cardiff City,4,0,42,12,0,135
Rui Patrício\Rui-Patricio,Wolves,1,0,0,0,0,144
Pedro\Pedro,Chelsea,2,0,17,8,0,129
Lee Peltier\Lee-Peltier,Cardiff City,4,0,15,0,0,133
Andreas Pereira\Andreas-Pereira,Manchester Utd,5,0,12,1,0,69
Ricardo Pereira\Ricardo-Pereira,Leicester City,7,0,43,2,0,348
Roberto Pereyra\Roberto-Pereyra,Watford,3,0,27,2,0,245
Ayoze Pérez\Ayoze-Perez,Newcastle Utd,2,0,46,9,0,221
Lucas Pérez\Lucas-Perez,West Ham,0,0,5,3,0,28
Jordan Pickford\Jordan-Pickford,Everton,1,0,1,0,0,186
Paul Pogba\Paul-Pogba,Manchester Utd,6,0,54,5,0,298
Alex Pritchard\Alex-Pritchard,Huddersfield,2,0,14,7,0,215
Sebastian Prödl\Sebastian-Prodl,Watford,0,0,1,0,0,0
Davy Pröpper\Davy-Propper,Brighton,2,0,34,2,0,330
Jason Puncheon\Jason-Puncheon,Crystal Palace,0,0,3,0,0,5
