,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Roberto Pereyra\Roberto-Pereyra,Watford,967,1187,81.5,16179,4456,1,3.4,-2.4,38,71,37,5,125,Matches
Ayoze Pérez\Ayoze-Perez,Newcastle Utd,609,812,75,9229,2371,2,3.6,-1.6,38,46,25,4,68,Matches
Lucas Pérez\Lucas-Perez,West Ham,102,148,68.9,1430,209,0,0.8,-0.8,8,4,4,0,5,Matches
Jordan Pickford\Jordan-Pickford,Everton,748,1250,59.8,28716,19158,0,0,0,1,36,0,0,1,Matches
Paul Pogba\Paul-Pogba,Manchester Utd,1728,2115,81.7,33679,9741,9,5.2,3.8,51,225,64,8,274,Matches
Alex Pritchard\Alex-Pritchard,Huddersfield,694,977,71,10901,2879,0,2,-2,34,60,28,7,90,Matches
Sebastian Prödl\Sebastian-Prodl,Watford,3,3,100,64,12,0,0,0,0,0,0,0,0,Matches
Davy Pröpper\Davy-Propper,Brighton,980,1252,78.3,19444,5003,1,1,0,19,122,21,3,130,Matches
Jason Puncheon\Jason-Puncheon,Crystal Palace,10,11,90.9,117,32,0,0,0,1,1,0,0,0,Matches
Jason Puncheon\Jason-Puncheon,Huddersfield,168,214,78.5,3108,1040,0,0.8,-0.8,5,14,5,0,28,Matches
Collin Quaner\Collin-Quaner,Huddersfield,13,17,76.5,168,45,0,0.1,-0.1,1,2,3,0,3,Matches
Domingos Quina\Domingos-Quina,Watford,198,232,85.3,3731,950,0,0.1,-0.1,1,25,3,1,19,Matches
Joe Ralls\Joe-Ralls,Cardiff City,568,863,65.8,12450,4760,0,2,-2,28,107,16,5,140,Matches
Aaron Ramsey\Aaron-Ramsey,Arsenal,647,790,81.9,11035,2577,6,2.4,3.6,24,53,21,5,70,Matches
Kayne Ramsey\Kayne-Ramsey,Southampton,14,18,77.8,263,56,0,0,0,0,0,0,0,0,Matches
Marcus Rashford\Marcus-Rashford,Manchester Utd,538,728,73.9,8159,2006,6,4.4,1.6,38,32,24,3,75,Matches
Tim Ream\Tim-Ream,Fulham,910,1036,87.8,17923,6478,0,0,0,2,48,2,0,70,Matches
Nathan Redmond\Nathan-Redmond,Southampton,877,1215,72.2,14892,3753,4,5.4,-1.4,55,62,61,22,111,Matches
Bobby Reid\Bobby-Reid,Cardiff City,237,330,71.8,3447,835,2,1,1,14,15,6,1,20,Matches
Declan Rice\Declan-Rice,West Ham,1364,1570,86.9,26601,5928,0,0.5,-0.5,9,127,5,0,85,Matches
Jazz Richards\Jazz-Richards,Cardiff City,25,35,71.4,394,174,0,0,0,0,2,0,0,2,Matches
Richarlison\Richarlison,Everton,546,837,65.2,8745,1986,1,1.4,-0.4,17,39,25,3,76,Matches
Diego Rico\Diego-Rico,Bournemouth,259,382,67.8,4716,2356,0,1.1,-1.1,11,22,7,5,67,Matches
Sergio Rico\Sergio-Rico,Fulham,519,891,58.2,21633,17650,0,0.2,-0.2,2,12,1,0,0,Matches
Matt Ritchie\Matt-Ritchie,Newcastle Utd,1036,1580,65.6,20299,8289,8,4.6,3.4,53,63,46,28,216,Matches
Andrew Robertson\Andrew-Robertson,Liverpool,2283,2797,81.6,41485,15333,11,6.8,4.2,52,159,72,18,321,Matches
Marcos Rojo\Marcos-Rojo,Manchester Utd,99,137,72.3,1869,830,0,0,0,0,11,1,0,9,Matches
Oriol Romeu\Oriol-Romeu,Southampton,898,1116,80.5,16595,5119,0,0.4,-0.4,7,121,10,2,130,Matches
