Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Willian,FW,Chelsea,2097.0,66.0,23.3,6,3,62,22,2.66,0.94,0,0,4.6,1100,1414,77.8,6,6.2,82,62,52,13,37,25,21,14,7,0,2,0,12,11,0,142,108,42,0,13
Joe Willock,MF,Arsenal,64.0,32.0,0.7,1,0,2,0,2.81,0.0,0,0,0.1,12,12,100.0,0,0.0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,4,2,0,-1
Ben Wilmot,MF,Watford,28.0,14.0,0.3,2,0,0,0,0.0,0.0,0,0,0.0,8,10,80.0,0,0.0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,4,0,0
Jack Wilshere,MF,West Ham,392.0,49.0,4.4,4,0,2,1,0.46,0.23,0,0,0.2,190,208,91.3,1,0.4,5,20,2,0,5,4,5,7,2,0,2,0,7,0,0,30,17,14,0,3
Callum Wilson,FW,Bournemouth,2528.0,84.0,28.1,1,14,63,27,2.24,0.96,1,2,14.1,319,456,70.0,9,4.2,28,17,20,3,11,9,12,6,14,0,3,0,42,20,0,100,168,32,1,7
Harry Winks,MF,Tottenham,1597.0,61.0,17.7,9,1,9,2,0.51,0.11,0,0,0.6,1286,1398,92.0,0,0.2,6,136,13,0,24,21,21,21,17,0,4,0,17,2,0,203,53,59,0,18
Chris Wood,FW,Burnley,2588.0,68.0,28.8,9,10,58,23,2.02,0.8,0,0,8.9,406,614,66.1,2,2.0,15,19,10,1,10,9,27,3,22,1,2,0,28,53,0,106,131,52,0,8
Granit Xhaka,MF,Arsenal,2498.0,86.0,27.8,0,4,30,11,1.08,0.4,0,0,1.6,1955,2378,82.2,2,3.6,38,229,36,10,62,38,34,33,63,1,10,0,45,1,0,354,90,130,0,14
Andriy Yarmolenko,FW,West Ham,459.0,51.0,5.1,4,2,9,3,1.76,0.59,0,0,1.0,168,214,78.5,0,0.5,5,8,10,1,2,2,9,2,1,0,2,0,8,1,0,32,27,12,0,2
DeAndre Yedlin,DF,Newcastle Utd,2473.0,85.0,27.5,1,1,11,2,0.4,0.07,0,0,1.0,784,1097,71.5,2,2.9,29,47,31,13,52,27,76,29,69,0,6,1,41,4,1,229,63,174,0,2
Maya Yoshida,DF,Southampton,1518.0,89.0,16.9,0,0,13,3,0.77,0.18,0,0,1.7,424,543,78.1,1,0.4,6,35,2,0,19,10,45,44,111,2,0,0,4,2,0,193,44,200,0,1
Ashley Young,DF,Manchester Utd,2569.0,86.0,28.5,2,2,12,3,0.42,0.11,0,0,0.4,1380,1904,72.5,2,3.4,42,118,33,12,56,29,56,53,61,0,9,1,38,4,0,272,73,170,0,2
Pablo Zabaleta,DF,West Ham,2092.0,80.0,23.2,3,0,7,1,0.3,0.04,0,0,0.2,863,1146,75.3,1,0.8,7,70,11,4,52,28,50,48,89,3,4,0,18,2,0,223,56,187,0,4
Wilfried Zaha,FW,Crystal Palace,3036.0,89.0,33.7,0,10,79,30,2.34,0.89,0,0,6.6,839,1094,76.7,5,5.6,54,61,68,10,43,33,31,9,2,0,9,1,45,16,0,228,143,42,0,23
Davide Zappacosta,DF,Chelsea,128.0,32.0,1.4,3,0,2,1,1.41,0.7,0,0,0.1,77,91,84.6,0,0.1,1,2,1,1,1,1,4,3,3,0,0,0,2,0,0,13,9,10,0,1
Oleksandr Zinchenko,DF,Manchester City,1151.0,82.0,12.8,0,0,7,1,0.55,0.08,0,0,0.1,1208,1338,90.3,3,1.3,12,131,21,4,31,16,18,22,28,0,1,0,15,1,0,153,44,68,0,1
Kurt Zouma,DF,Everton,2612.0,82.0,29.0,3,2,17,4,0.59,0.14,0,0,1.3,1218,1429,85.2,2,0.3,6,71,4,0,34,20,48,50,160,2,4,1,21,2,0,350,112,258,0,6
