Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Fabian Delph,DF,Manchester City,725.0,66.0,8.1,3,0,4,3,0.5,0.37,0,0,0.1,692,758,91.3,1,0.3,3,75,14,2,18,7,3,13,20,2,1,1,6,0,0,85,29,36,0,-4
Mousa Dembélé,MF,Tottenham,515.0,52.0,5.7,3,0,1,0,0.17,0.0,0,0,0.0,278,308,90.3,0,0.0,0,21,1,0,15,9,6,10,5,0,1,0,12,0,0,65,14,21,0,3
Leander Dendoncker,MF,Wolves,1467.0,77.0,16.3,2,2,16,9,0.98,0.55,0,0,2.5,504,625,80.6,0,1.2,7,28,7,1,47,35,45,22,29,0,1,0,11,1,0,150,48,96,0,23
Gerard Deulofeu,FW,Watford,2066.0,69.0,23.0,4,10,62,23,2.7,1.0,0,0,8.3,580,795,73.0,5,4.9,30,40,43,5,10,8,17,15,6,0,3,0,14,34,0,140,133,38,0,6
Fousseni Diabaté,FW,Leicester City,54.0,54.0,0.6,0,0,0,0,0.0,0.0,0,0,0.0,10,18,55.6,0,0.1,1,0,1,1,3,3,1,0,0,0,0,0,0,1,0,3,1,1,0,3
Mohamed Diamé,MF,Newcastle Utd,2166.0,75.0,24.1,5,0,21,3,0.87,0.12,0,0,0.9,571,741,77.1,0,0.0,1,44,8,1,72,48,50,30,39,0,3,0,36,0,0,228,56,119,0,24
Grady Diangana,FW,West Ham,609.0,36.0,6.8,11,0,10,3,1.48,0.44,0,0,0.7,200,265,75.5,1,1.2,11,16,7,1,21,10,11,2,3,0,0,0,4,1,0,60,25,16,0,-1
Eric Dier,MF,Tottenham,1506.0,75.0,16.7,2,3,9,3,0.54,0.18,0,0,1.6,890,1058,84.1,0,0.9,8,80,12,3,25,12,33,21,43,0,4,0,24,0,0,172,56,97,0,-1
Lucas Digne,DF,Everton,2965.0,85.0,32.9,2,4,34,10,1.03,0.3,0,0,1.1,1460,2059,70.9,4,6.1,70,112,51,30,84,45,74,58,118,0,5,1,39,2,1,386,158,250,0,6
Virgil van Dijk,DF,Liverpool,3384.0,89.0,37.6,0,4,32,8,0.85,0.21,0,0,3.2,2709,2996,90.4,2,1.1,6,182,5,0,35,25,43,42,227,0,1,0,12,1,0,528,208,312,0,15
Issa Diop,DF,West Ham,2970.0,90.0,33.0,0,1,14,4,0.42,0.12,0,0,1.1,973,1141,85.3,0,0.1,2,42,0,0,67,34,81,60,163,2,4,0,19,3,1,304,87,304,0,1
Matt Doherty,DF,Wolves,3144.0,83.0,34.9,3,4,43,17,1.23,0.49,0,0,5.6,1333,1828,72.9,5,4.8,41,74,32,11,68,33,80,60,98,0,5,0,30,3,1,310,144,238,0,-2
Abdoulaye Doucouré,MF,Watford,3062.0,87.0,34.0,1,5,52,16,1.53,0.47,0,0,5.6,1640,1967,83.4,6,3.8,37,149,36,4,71,48,35,32,43,3,7,0,37,2,1,465,124,110,0,25
Luke Dreher,MF,Crystal Palace,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,3,3,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shane Duffy,DF,Brighton,3087.0,88.0,34.3,0,5,39,14,1.14,0.41,0,0,2.8,990,1268,78.1,1,0.3,6,39,3,1,32,20,71,36,302,2,4,1,23,4,0,355,115,409,0,8
Paul Dummett,DF,Newcastle Utd,1990.0,77.0,22.1,5,0,8,1,0.36,0.05,0,0,0.2,639,884,72.3,0,0.8,5,75,12,4,38,16,46,36,129,1,1,0,11,1,0,222,67,211,0,-6
Lewis Dunk,DF,Brighton,3151.0,88.0,35.0,0,2,22,4,0.63,0.11,0,0,1.2,1240,1489,83.3,1,0.6,9,77,3,0,46,32,66,51,225,0,6,1,22,0,0,376,91,342,0,18
Mohamed Elneny,MF,Arsenal,380.0,48.0,4.2,3,0,7,0,1.66,0.0,0,0,0.6,259,287,90.2,0,0.1,4,18,3,0,10,5,5,2,8,0,0,0,1,1,0,38,10,15,0,0
Mohamed Elyounoussi,MF,Southampton,793.0,50.0,8.8,8,0,19,6,2.16,0.68,0,0,1.9,176,270,65.2,0,1.1,13,11,9,1,18,11,13,7,4,0,0,0,10,2,0,67,28,24,0,4
Christian Eriksen,MF,Tottenham,2774.0,79.0,30.8,5,8,84,31,2.73,1.01,0,0,5.5,1540,1985,77.6,12,6.9,75,181,55,11,41,27,44,14,8,0,3,0,17,2,0,297,161,66,0,13
Jonny Evans,DF,Leicester City,1996.0,83.0,22.2,3,1,10,4,0.45,0.18,0,0,0.9,867,1013,85.6,0,0.2,4,44,1,0,24,17,36,33,154,2,2,0,21,0,0,236,77,223,0,10
Fabinho,MF,Liverpool,2017.0,72.0,22.4,7,1,17,4,0.76,0.18,0,0,1.0,1403,1631,86.0,2,1.3,16,153,25,2,60,34,40,31,46,0,6,0,30,0,0,278,65,117,0,8
Cesc Fàbregas,MF,Chelsea,180.0,30.0,2.0,5,0,1,0,0.5,0.0,0,0,0.1,165,193,85.5,0,0.3,3,17,4,0,10,9,2,1,1,0,1,0,1,0,0,13,6,4,0,8
Marouane Fellaini,MF,Manchester Utd,752.0,54.0,8.4,8,0,8,3,0.96,0.36,0,0,0.4,347,433,80.1,1,0.1,3,31,1,0,23,15,13,3,28,0,1,0,15,2,0,80,26,44,0,7
Kiko Femenía,DF,Watford,2049.0,71.0,22.8,7,1,7,3,0.31,0.13,0,0,0.5,950,1174,80.9,1,1.8,15,66,26,13,53,30,37,38,68,1,1,0,12,3,0,186,66,143,0,7
Federico Fernández,DF,Newcastle Utd,1484.0,78.0,16.5,2,0,4,1,0.24,0.06,0,0,0.2,483,622,77.7,1,0.3,4,33,4,2,22,16,32,25,104,0,2,0,12,1,0,161,47,161,0,10
Fernandinho,MF,Manchester City,2377.0,82.0,26.4,2,1,31,7,1.17,0.27,0,0,1.9,1804,2068,87.2,3,2.9,24,265,48,0,59,50,35,40,77,1,5,0,40,2,0,321,79,152,0,41
Roberto Firmino,FW,Liverpool,2607.0,77.0,29.0,3,12,73,31,2.52,1.07,1,1,13.3,1056,1303,81.0,6,5.6,42,90,54,3,33,29,40,6,14,1,0,0,40,9,0,167,160,60,0,25
Phil Foden,MF,Manchester City,335.0,26.0,3.7,10,1,14,6,3.76,1.61,0,0,2.5,202,235,86.0,0,0.6,8,9,8,0,7,7,4,3,1,0,0,0,4,0,0,31,25,8,0,7
Juan Foyth,DF,Tottenham,888.0,74.0,9.9,2,1,5,1,0.51,0.1,0,0,0.7,506,588,86.1,0,0.3,3,28,3,1,37,21,21,11,47,1,3,1,16,0,0,101,35,79,0,5
Simon Francis,DF,Bournemouth,1229.0,72.0,13.7,4,0,3,1,0.22,0.07,0,0,0.1,598,815,73.4,2,1.0,11,62,17,8,22,13,27,19,57,0,1,0,10,3,0,143,40,103,0,4
Ryan Fraser,MF,Bournemouth,3166.0,83.0,35.2,3,7,50,24,1.42,0.68,0,0,4.5,1019,1505,67.7,14,11.8,87,79,64,24,14,6,41,23,22,0,2,0,6,10,0,215,181,86,0,-2
Fred,MF,Manchester Utd,1041.0,61.0,11.6,4,1,17,2,1.47,0.17,0,0,0.8,656,769,85.3,1,0.9,14,79,6,2,37,25,32,16,6,1,2,0,25,1,0,141,40,54,0,13
Ryan Fredericks,DF,West Ham,1086.0,72.0,12.1,3,1,5,2,0.41,0.17,0,0,0.5,397,548,72.4,0,0.2,3,18,8,6,31,17,31,14,56,0,5,0,9,1,0,99,38,101,0,3
Christian Fuchs,DF,Leicester City,207.0,69.0,2.3,1,0,2,0,0.87,0.0,0,0,0.1,121,158,76.6,0,0.3,6,11,6,4,4,2,4,4,7,0,0,0,3,0,0,29,3,15,0,0
Manolo Gabbiadini,FW,Southampton,476.0,40.0,5.3,8,1,21,8,3.97,1.51,0,0,1.9,83,119,69.7,0,0.2,4,3,3,0,5,2,6,3,5,0,0,0,9,1,0,28,23,14,0,-1
Sam Gallagher,FW,Southampton,34.0,9.0,0.4,4,0,0,0,0.0,0.0,0,0,0.0,2,8,25.0,0,0.0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,2,4,3,0,0
