Player,Pos,90s,xA,xG,Recov,CrsPA,Tkl,TklW
Jack Grealish\Jack-Grealish,FWMF,35.9,6.9,6.4,254,6,36,28
Mason Greenwood\Mason-Greenwood,FW,14.7,0.7,3.7,70,1,19,13
Arnaut Groeneveld\Arnaut-Groeneveld,MF,7,0.3,1.2,36,1,6,5
Pascal Groß\Pascal-Gross,FWMF,20,5.1,1.8,123,10,33,21
Vicente Guaita\Vicente-Guaita,GK,35,0,0,164,0,0,0
Mattéo Guendouzi\Matteo-Guendouzi,MF,19.4,1.3,0.7,192,1,24,13
Frederic Guilbert\Frederic-Guilbert,DF,22.7,1.4,0.4,220,15,82,38
?lkay Gündo?an\Ilkay-Gundogan,MF,22.4,2.8,4.5,219,1,28,19
Angus Gunn\Angus-Gunn,GK,10,0,0,38,0,0,0
Sébastien Haller\Sebastien-Haller,FW,25.2,1.9,7.7,121,2,21,17
Grant Hanley\Grant-Hanley,DF,14,0,0.5,107,0,27,17
Kortney Hause\Kortney-Hause,DF,17.2,0.2,2.2,245,0,27,22
Isaac Hayden\Isaac-Hayden,MF,24.7,1.5,1.2,257,7,63,37
Tom Heaton\Tom-Heaton,GK,19.9,0,0,84,0,0,0
Dean Henderson\Dean-Henderson,GK,36,0,0,199,0,0,0
Jordan Henderson\Jordan-Henderson,MF,24.9,3,1.4,322,6,65,36
Jeff Hendrick\Jeff-Hendrick,MF,21.5,0.8,1.6,175,2,18,10
Wayne Hennessey\Wayne-Hennessey,GK,3,0,0,7,0,0,0
Javier Hernández\Javier-Hernandez,FW,1.2,0,0.7,5,0,0,0
Onel Hernández\Onel-Hernandez,FWMF,15.4,0.9,2.6,90,3,37,27
Son Heung-min\Son-Heung-min,FWMF,27.5,6.8,8.7,183,3,33,21
George Hirst\George-Hirst,FW,0.1,0,0.1,2,0,0,0
Rob Holding\Rob-Holding,DF,6.5,0,0.1,37,0,6,3
José Holebas\Jose-Holebas,DF,11.4,0.7,0.5,89,5,25,12
Mason Holgate\Mason-Holgate,DF,22.8,0.4,2.2,207,0,50,28
Nathan Holland\Nathan-Holland,MF,0.4,0,0,0,0,1,0
Conor Hourihane\Conor-Hourihane,MF,17,5.2,1.7,127,5,21,14
Callum Hudson-Odoi\Callum-Hudson-Odoi,FW,9.6,2.8,1.7,60,10,8,5
Will Hughes\Will-Hughes,MFFW,25,1.3,2.7,267,4,80,49
Pierre Højbjerg\Pierre-Hojbjerg,MF,30.6,2,2.6,510,5,90,57
Jordon Ibe\Jordon-Ibe,DF,0.6,0,0,7,0,3,3
Adam Idah\Adam-Idah,FWMF,2.5,0,1,12,0,4,4
Odion Ighalo\Odion-Ighalo,FW,1.1,0.2,1.5,5,0,2,2
Kelechi Iheanacho\Kelechi-Iheanacho,FW,10.7,2.5,4.8,42,0,6,5
Danny Ings\Danny-Ings,FW,31.2,2.7,17,188,7,51,32
Alex Iwobi\Alex-Iwobi,MFFW,17.7,2.3,2.3,145,9,27,14
Phil Jagielka\Phil-Jagielka,DF,2.7,0,0,28,1,6,4
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,3.5,0,0.5,32,1,7,3
Daniel James\Daniel-James,FW,25.4,4,3.6,153,9,25,15
Matty James\Matty-James,MF,0.1,0,0,0,0,0,0
Reece James\Reece-James,DF,16.8,3.4,0.8,164,13,42,23
Daryl Janmaat\Daryl-Janmaat,DF,6.7,0.4,0.3,45,5,16,6
Gabriel Jesus\Gabriel-Jesus,FW,22.6,3.7,18.5,119,1,25,19
Raúl Jiménez\Raul-Jimenez,FW,36,5.5,14.5,166,4,29,23
Joelinton\Joelinton,FW,29.8,2.4,4.8,180,2,30,19
Ben Johnson\Ben-Johnson,DF,3,0.2,0,25,3,8,4
Curtis Jones\Curtis-Jones,MF,1.4,0,0.9,20,0,3,2
Phil Jones\Phil-Jones,DF,1.5,0,0.2,19,0,4,2
Bruno Jordão\Bruno-Jordao,FW,0.1,0,0,2,0,0,0
Jorginho\Jorginho,MF,26.4,2.4,3.4,401,1,69,44
Jota\Jota,FWMF,3.7,0.7,0.2,24,0,3,2
Diogo Jota\Diogo-Jota,FWMF,25.4,3.8,9.7,178,6,34,21
James Justin\James-Justin,DF,11.2,1.2,0.3,127,7,35,19
Christian Kabasele\Christian-Kabasele,DF,25,0.5,1.1,200,0,40,24
Harry Kane\Harry-Kane,FW,28.7,2.5,10.6,92,3,20,14
N'Golo Kanté\NGolo-Kante,MF,19.2,2,1.5,282,9,58,43
Moise Kean\Moise-Kean,FW,9.5,1,4.2,40,2,7,6
Michael Keane\Michael-Keane,DF,28.4,0.7,1.6,297,0,41,26
Naby Keïta\Naby-Keita,MF,9.1,2.2,1.6,99,2,27,20
Lloyd Kelly\Lloyd-Kelly,DF,7.1,0.2,0,70,0,9,6
Martin Kelly\Martin-Kelly,DF,17.2,0.9,0.1,115,6,24,18
Max Kilman\Max-Kilman,DF,2.1,0,0,14,0,4,3
Joshua King\Joshua-King,FWMF,22.3,3.7,6.6,130,5,19,15
Timm Klose\Timm-Klose,DF,6.5,0,0.4,78,0,9,4
Jonathan Kodjia\Jonathan-Kodjia,FWMF,1.3,0,0.1,5,0,0,0
Sead Kolašinac\Sead-Kolasinac,DF,18.9,1,0.6,193,4,35,18
Ezri Konsa\Ezri-Konsa,DF,22.7,0.4,1.5,205,2,27,18
Cheikhou Kouyaté\Cheikhou-Kouyate,MFDF,28.1,0.8,1.8,256,1,70,45
Mateo Kova?i?\Mateo-Kovacic,MF,23,1.9,1.4,244,2,80,55
Emil Krafth\Emil-Krafth,DF,11.3,0.4,0.3,84,2,20,12
Tim Krul\Tim-Krul,GK,36,0,0,160,0,0,0
Alexandre Lacazette\Alexandre-Lacazette,FW,20.8,3.1,8.5,102,6,23,19
Adam Lallana\Adam-Lallana,MFFW,4.2,0.8,1,51,0,20,12
Érik Lamela\Erik-Lamela,MFFW,13.5,1.6,2.7,92,1,27,21
Tariq Lamptey\Tariq-Lamptey,DF,6.5,0.6,0.1,57,5,9,3
Tariq Lamptey\Tariq-Lamptey,DF,0.4,0.1,0,6,0,2,0
Henri Lansbury\Henri-Lansbury,MF,2.2,0.1,0.1,26,0,5,2
Manuel Lanzini\Manuel-Lanzini,MFFW,15.3,2.6,2,126,3,11,9
Aymeric Laporte\Aymeric-Laporte,DF,12.2,0.1,0.3,136,0,12,8
Jamaal Lascelles\Jamaal-Lascelles,DF,23.1,0.1,0.3,260,0,18,10
Valentino Lazaro\Valentino-Lazaro,DFMF,5.3,0.2,0.4,39,1,11,2
Moritz Leitner\Moritz-Leitner,MF,7.6,0.3,0.2,77,2,18,9
Florian Lejeune\Florian-Lejeune,DF,4.9,0.1,0.5,64,0,8,6
Aaron Lennon\Aaron-Lennon,MF,5.5,0.1,0,30,1,15,9
Bernd Leno\Bernd-Leno,GK,29.4,0,0,150,0,0,0
Jefferson Lerma\Jefferson-Lerma,MF,30,1.8,1.3,452,0,81,49
Jamal Lewis\Jamal-Lewis,DF,25.6,1,0.3,206,8,56,31
Victor Lindelöf\Victor-Lindelof,DF,34.4,0.3,0.4,406,0,30,16
Jesse Lingard\Jesse-Lingard,MFFW,10.4,0.9,2.7,52,0,13,9
Hugo Lloris\Hugo-Lloris,GK,20.1,0,0,93,0,0,0
Giovani Lo Celso\Giovani-Lo-Celso,MFFW,16.6,2,1.3,167,2,51,33
Jürgen Locadia\Jurgen-Locadia,MFFW,1,0,0.3,8,0,1,1
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,2.3,0.2,0.5,23,0,0,0
Kevin Long\Kevin-Long,DF,6.3,0,0.2,64,0,10,8
Shane Long\Shane-Long,FW,15.5,1.4,4.7,81,4,19,15
Matthew Longstaff\Matthew-Longstaff,MF,6.4,0.2,0.4,57,1,6,3
Sean Longstaff\Sean-Longstaff,MF,15.3,1,1,170,1,43,21
Dejan Lovren\Dejan-Lovren,DF,8.6,0.3,0.3,107,0,16,9
Matthew Lowton\Matthew-Lowton,DF,17,1.1,0,135,4,44,24
David Luiz\David-Luiz,DF,31.2,1,1.8,210,1,33,20
Douglas Luiz\Douglas-Luiz,MF,29,1.4,2.4,320,4,52,33
John Lundstram\John-Lundstram,MF,27.3,2.4,5.3,235,6,50,33
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,3.9,0.3,0.4,31,1,9,4
James Maddison\James-Maddison,MF,29.2,7.2,5,218,6,56,39
Harry Maguire\Harry-Maguire,DF,38,0.5,2,435,0,44,27
Riyad Mahrez\Riyad-Mahrez,FW,21.6,9,7.2,140,8,32,21
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,15.4,1.4,0.3,131,5,41,27
Sadio Mané\Sadio-Mane,FW,30.5,7,13.5,169,11,50,35
Javier Manquillo\Javier-Manquillo,DF,17.8,0.4,0.1,119,4,47,32
Solly March\Solly-March,DFFW,12.7,0.7,1.4,99,7,26,17
Pablo Marí\Pablo-Mari,DF,1.3,0,0,8,0,3,1
Adrian Mariappa\Adrian-Mariappa,DF,16.8,0.4,0.2,133,3,25,12
Anthony Martial\Anthony-Martial,FW,29.2,4.2,10.9,76,1,15,12
David Martin\David-Martin,GK,4.8,0,0,20,0,0,0
Josh Martin\Josh-Martin,FW,0.4,0,0.2,3,0,0,0
Martinelli\Martinelli,FW,7.4,0.2,2.2,34,1,23,13
Emiliano Martínez\Emiliano-Martinez,GK,8.6,0,0,39,0,0,0
Adam Masina\Adam-Masina,DF,20.2,0.6,0.7,229,12,40,25
Arthur Masuaku\Arthur-Masuaku,DF,10.4,1,0.1,112,3,43,27
Juan Mata\Juan-Mata,MFFW,8.4,1.9,1.2,48,2,8,7
Nemanja Mati?\Nemanja-Matic,MF,17.6,1.3,0.2,242,1,41,21
Joël Matip\Joel-Matip,DF,7.8,0,0.3,92,0,13,9
Neal Maupay\Neal-Maupay,FW,30.7,2.5,11.2,141,3,28,17
James McArthur\James-McArthur,MF,34.3,2.6,2.4,345,3,110,70
Oliver McBurnie\Oliver-McBurnie,FW,23.5,1.5,7.7,141,0,35,21
Alex McCarthy\Alex-McCarthy,GK,28,0,0,117,0,0,0
James McCarthy\James-McCarthy,MF,18.7,0.9,0.5,244,0,77,42
John McGinn\John-McGinn,MF,25.7,2.4,3.9,205,8,59,41
David McGoldrick\David-McGoldrick,FW,20.2,2.1,7.1,112,3,42,26
Michael McGovern\Michael-McGovern,GK,1.8,0,0,10,0,0,0
Kenny McLean\Kenny-McLean,MF,33,2.1,1.4,327,5,48,31
Dwight McNeil\Dwight-McNeil,MF,37.1,6.7,2.2,327,29,55,28
Scott McTominay\Scott-McTominay,MF,19.7,0.7,1.5,237,2,50,31
Ben Mee\Ben-Mee,DF,32,0.6,1.7,343,0,35,16
Benjamin Mendy\Benjamin-Mendy,DF,16.6,1.4,0.3,122,20,22,17
Nampalys Mendy\Nampalys-Mendy,MF,3.2,0.1,0,34,0,7,4
Chris Mepham\Chris-Mepham,DF,10.1,0.1,0.6,106,0,23,14
Max Meyer\Max-Meyer,MFFW,7.3,0.7,0.7,50,2,17,8
Luka Milivojevi?\Luka-Milivojevic,MF,27.9,1.8,2.5,331,0,60,37
James Milner\James-Milner,MFDF,10.4,0.7,2.1,102,1,17,10
Yerry Mina\Yerry-Mina,DF,25.4,0.2,2.2,279,0,43,20
Takumi Minamino\Takumi-Minamino,FWMF,2.8,0,1.4,11,1,4,3
