,,Tackles,Tackles,Blocks,,,
Player,Squad,Tkl,TklW,Blocks,Int,Clr,Err
Samir Nasri\Samir-Nasri,West Ham,0,0,1,1,1,0
Marc Navarro\Marc-Navarro,Watford,3,1,2,0,3,0
Wilfred Ndidi\Wilfred-Ndidi,Leicester City,160,109,81,80,92,0
Rúben Neves\Ruben-Neves,Wolves,64,39,75,73,52,1
Oumar Niasse\Oumar-Niasse,Everton,0,0,0,0,0,0
Oumar Niasse\Oumar-Niasse,Cardiff City,11,6,14,2,7,0
Eddie Nketiah\Eddie-Nketiah,Arsenal,1,1,0,0,1,0
Mark Noble\Mark-Noble,West Ham,55,38,19,21,8,0
Håvard Nordtveit\Havard-Nordtveit,Fulham,6,3,6,6,19,1
Will Norris\Will-Norris,Wolves,0,0,0,0,0,0
Michael Obafemi\Michael-Obafemi,Southampton,1,1,2,1,0,0
Pedro Obiang\Pedro-Obiang,West Ham,39,25,25,14,16,0
Denis Odoi\Denis-Odoi,Fulham,55,37,74,38,159,0
Angelo Ogbonna\Angelo-Ogbonna,West Ham,38,23,48,34,111,0
Stefano Okaka\Stefano-Okaka,Watford,0,0,1,0,0,0
Shinji Okazaki\Shinji-Okazaki,Leicester City,6,4,9,2,0,0
Divock Origi\Divock-Origi,Liverpool,6,4,3,1,1,0
Nicolás Otamendi\Nicolas-Otamendi,Manchester City,29,16,11,28,77,0
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,Liverpool,1,0,2,1,0,0
Mesut Özil\Mesut-Ozil,Arsenal,9,5,9,5,2,0
Emerson Palmieri\Emerson-Palmieri,Chelsea,17,8,17,6,11,0
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,Arsenal,50,32,42,27,138,0
Callum Paterson\Callum-Paterson,Cardiff City,30,15,38,8,35,0
Rui Patrício\Rui-Patricio,Wolves,0,0,0,0,2,2
Pedro\Pedro,Chelsea,23,15,24,17,6,0
Lee Peltier\Lee-Peltier,Cardiff City,38,19,31,17,59,1
Andreas Pereira\Andreas-Pereira,Manchester Utd,8,6,14,9,6,0
Ricardo Pereira\Ricardo-Pereira,Leicester City,119,70,103,63,98,0
Roberto Pereyra\Roberto-Pereyra,Watford,24,20,50,20,19,1
Ayoze Pérez\Ayoze-Perez,Newcastle Utd,52,35,72,42,34,1
Lucas Pérez\Lucas-Perez,West Ham,4,3,2,3,2,0
Jordan Pickford\Jordan-Pickford,Everton,0,0,0,0,3,3
Paul Pogba\Paul-Pogba,Manchester Utd,47,37,42,20,30,0
Alex Pritchard\Alex-Pritchard,Huddersfield,28,18,37,17,7,0
Sebastian Prödl\Sebastian-Prodl,Watford,0,0,0,0,0,0
Davy Pröpper\Davy-Propper,Brighton,49,36,50,52,37,0
Jason Puncheon\Jason-Puncheon,Crystal Palace,0,0,0,0,0,0
